Catégorie,Mots-clés
Travaux miniers,"Extraction minière, Exploitation minière, Mines, Gisements"
Géothermie,"Énergie géothermique, Centrales géothermiques, Forage thermique, Chaleur souterraine, Puits géothermiques"
Hydroélectricité,"Énergie hydraulique, Centrales hydroélectriques, Barrage électrique, Turbines hydrauliques"
Photovoltaïque,"Panneaux solaires, Cellules photovoltaïques, Modules photovoltaïques, Énergie solaire, Centrale solaire"
Éoliennes,"Parcs éoliens, Turbines éoliennes, Énergie éolienne"
Carrières,"Extraction de matériaux, Exploitation de carrières, Pierres, carrière"
Déchets,"Gestion des déchets, Traitement des déchets, Recyclage, Décharges, Méthanisation"
Élevages et pisciculture,"Aquaculture, Pisciculture, Élevage"
Industries,"Usines, Production industrielle, Fabrication, Manufacture"
Logistique,"Transport de marchandises, Entrepôt, Distribution, Chaîne logistique, Centre de distribution, Dépôts d'hydrocarbures"
ZAC,"""Zone d'aménagement concerté"""
Aménagements urbains,"Urbanisme, Construction urbaine, Équipements publics, Projets immobiliers, Espaces verts"
"Loisirs, sport, tourisme","Complexes touristiques, Parcs d'attractions, Hôtellerie, Installations de loisirs, Stades, Piscines, Gymnases, Complexes sportifs, Centre commerciaux, Remontées mécaniques"
Aménagements ruraux,"Aménagement forestier, Agriculture, Déboisement, Défrichement, Aménagement foncier agricole et forestier"
Forages et irrigation,"Prélèvement d'eau, Réseau d'irrigation, Approvisionnement en eau, Pompage, Puits d'eau, Reserve d'eau, Captage, Adduction d'eau"
Assainissement,"Systèmes d'épuration, Eaux usées, Traitement des eaux, Gestion des eaux, Egouts, Stations d'épuration"
Cours d'eau,"Gestion des rivières, Restauration des cours d'eau, Hydrologie, Préservation des écosystèmes aquatiques, Berges, Navigation fluviale, Canal"
Travaux maritimes,"Chantier naval, Ports, Construction maritime, Infrastructure côtière, Plage"
Nucléaire,"Centrale nucléaire, Déchets nucléaire, Réacteur nucléaire"
Agriculture,"Infrastructures agricoles, Fermes, Exploitations agricoles, plantation"
Transports,"Routes, Autoroutes, Voies ferrées, Infrastructures de transports, Ports, Gares, Aéroports, Pistes cyclables, Tunnels"
Electricité,"Infrastructures électriques, Lignes à haute tension, Transformateurs électriques, Réseau de distribution d'électricité, Transport d'électricité, Stockage d'électricité"
Parkings,Aire de stationnement
SCOT,"""Schéma de Cohérence Territoriale"""
PLU,"""Plan Local d'Urbanisme"""
Carte communale,"""Carte communale"""
PLUi,"""Plan Local d'Urbanisme intercommunal"""
Paysage et patrimoine,"Conservation du paysage, Patrimoine architectural, Sites protégés, Protection culturelle, Charte de parc naturel"
PP nationaux ou interrégionaux,"Planification nationale, Politiques publiques, Programmes régionaux, Plans interrégionaux"
PPR,"""Plan de Prévention des Risques"", PPRT"
PCAET,"""Plan Climat Air Énergie Territorial"""
